code,code/_text,code/_title,name,longitude,latitude,elevation
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=STD,STD,,SUTHERLAND RESERVOIR,-116.787,33.118,2074
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=STG,STG,,STONY GORGE RESERVOIR,-122.533,39.583,800
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=STP,STP,,STAMPEDE,-120.103,39.471,5956
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SVO,SVO,,SEVEN OAKS DAM,-117.0978,34.1178,2610
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SVT,SVT,,SAN VICENTE,-116.924,32.912,560
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SW3,SW3,,SWEETWATER RESERVOIR,-117.007,32.692,252
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SWB,SWB,,STRAWBERRY,-119.983,38.2,5620
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TAB,TAB,,THERMALITO AFTERBAY,-121.633,39.45,140
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TAE,TAE,,THOMAS A EDISON,-118.987,37.37,7642
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TAH,TAH,,LAKE TAHOE,-120.118,39.181,6221
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TFR,TFR,,THERMALITO FOREBAY,-121.629,39.519,230
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=THD,THD,,THERMALITO DIVERS POOL,-121.543,39.528,230
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TLC,TLC,,TURLOCK LAKE,-120.583,37.6,244
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TMT,TMT,,THERMALITO TOTAL,-121.638,39.458,140
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TNM,TNM,,TINEMAHA RESERVOIR,-118.225,37.058,3882
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TRM,TRM,,TERMINUS DAM,-119.002,36.415,752
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TUL,TUL,,TULLOCH,-120.603,37.875,515
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TWT,TWT,,TWITCHELL,-120.317,34.983,692
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=UNV,UNV,,UNION VALLEY,-120.438,38.864,4870
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=USL,USL,,U SAN LEANDRO,-122.122,37.778,477
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=VAR,VAR,,VAN ARSDALE RESERVOIR 24HR AVG,-123.1025,39.3839,1494
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=VIL,VIL,,VAIL LAKE,-116.976,33.496,1470
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=VLP,VLP,,VILLA PARK,-117.832,33.815,584
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WHI,WHI,,WHISKEYTOWN DAM (USBR),-122.537,40.598,1210
